time,open,high,low,close,tick_volume,spread,real_volume,hour,day_of_week,MA20,range,momentum,vol_avg,volume_spike,h1_prev_high,h1_prev_low,h1_bos_up,h1_bos_down,h1_ma20,h1_momentum,h1_trend,h1_bias,prev_high,prev_low,bos_up,bos_down,trend
2026-04-14 07:55:00,4775.32,4779.68,4773.84,4777.14,783,15,0,7,1,4776.452,5.8400000000001455,1.8200000000006185,1096.5,False,4782.96,4760.18,1,0,4748.262000000001,-4.849999999999454,bullish,bullish,4778.32,4774.09,1,1,bullish
2026-04-14 08:00:00,4777.1,4778.15,4774.24,4777.98,862,15,0,8,1,4777.1015,3.909999999999856,0.839999999999236,1110.1,False,4796.12,4767.99,0,0,4752.251,9.759999999999309,neutral,bullish,4779.68,4773.84,0,0,neutral
2026-04-14 08:05:00,4777.87,4782.44,4777.79,4780.38,943,15,0,8,1,4777.731000000001,4.649999999999636,2.4000000000005457,1112.05,False,4796.12,4767.99,0,0,4752.251,9.759999999999309,neutral,bullish,4778.15,4774.24,1,0,bullish
2026-04-14 08:10:00,4780.38,4781.71,4777.85,4780.4,1043,15,0,8,1,4778.4925,3.8599999999996726,0.019999999999527,1120.6,False,4796.12,4767.99,0,0,4752.251,9.759999999999309,neutral,bullish,4782.44,4777.79,0,0,neutral
2026-04-14 08:15:00,4780.4,4781.13,4777.74,4779.82,953,15,0,8,1,4779.1,3.3900000000003274,-0.5799999999999272,1127.9,False,4796.12,4767.99,0,0,4752.251,9.759999999999309,neutral,bullish,4781.71,4777.85,0,1,bearish
2026-04-14 08:20:00,4779.82,4781.99,4775.87,4777.65,975,14,0,8,1,4779.504,6.119999999999891,-2.1700000000000728,1137.8,False,4796.12,4767.99,0,0,4752.251,9.759999999999309,neutral,bullish,4781.13,4777.74,1,1,bullish
2026-04-14 08:25:00,4777.65,4786.66,4777.65,4786.07,834,15,0,8,1,4780.157999999999,9.010000000000218,8.420000000000073,1128.3,False,4796.12,4767.99,0,0,4752.251,9.759999999999309,neutral,bullish,4781.99,4775.87,1,0,bullish
2026-04-14 08:30:00,4786.07,4789.26,4785.14,4788.56,964,15,0,8,1,4780.6415,4.119999999999891,2.490000000000691,1116.4,False,4796.12,4767.99,0,0,4752.251,9.759999999999309,neutral,bullish,4786.66,4777.65,1,0,bullish
2026-04-14 08:35:00,4788.56,4789.98,4785.94,4787.93,900,15,0,8,1,4780.9385,4.039999999999964,-0.6300000000001091,1087.65,False,4796.12,4767.99,0,0,4752.251,9.759999999999309,neutral,bullish,4789.26,4785.14,1,0,bullish
2026-04-14 08:40:00,4787.93,4787.93,4782.7,4784.81,744,15,0,8,1,4780.840999999999,5.230000000000473,-3.119999999999891,1045.85,False,4796.12,4767.99,0,0,4752.251,9.759999999999309,neutral,bullish,4789.98,4785.94,0,1,bearish
