time,open,high,low,close,tick_volume,spread,real_volume,volume
2026-04-24 16:25:00,4696.22,4697.29,4693.57,4696.95,1944,4,0,1944
2026-04-24 16:30:00,4696.95,4699.6,4689.68,4692.24,2734,4,0,2734
2026-04-24 16:35:00,4692.24,4704.5,4691.61,4704.01,2257,4,0,2257
2026-04-24 16:40:00,4704.01,4709.7,4702.32,4708.29,2816,4,0,2816
2026-04-24 16:45:00,4708.3,4717.51,4706.23,4712.08,2836,4,0,2836
2026-04-24 16:50:00,4712.08,4712.68,4705.04,4706.17,2429,4,0,2429
2026-04-24 16:55:00,4706.16,4713.01,4704.71,4711.65,2108,4,0,2108
2026-04-24 17:00:00,4711.65,4715.54,4706.82,4713.16,3107,4,0,3107
2026-04-24 17:05:00,4713.16,4731.06,4712.92,4728.13,3849,4,0,3849
2026-04-24 17:10:00,4728.13,4740.29,4725.73,4731.56,3392,4,0,3392
2026-04-24 17:15:00,4731.53,4733.61,4726.93,4731.39,3373,4,0,3373
2026-04-24 17:20:00,4731.39,4734.08,4726.7,4728.18,3033,4,0,3033
2026-04-24 17:25:00,4728.19,4728.53,4721.36,4725.5,2805,4,0,2805
2026-04-24 17:30:00,4725.53,4731.61,4723.71,4728.81,2900,4,0,2900
2026-04-24 17:35:00,4728.81,4732.3,4726.3,4729.76,2851,4,0,2851
2026-04-24 17:40:00,4729.76,4732.92,4727.73,4730.34,2230,4,0,2230
2026-04-24 17:45:00,4730.49,4731.34,4725.27,4727.75,2212,4,0,2212
2026-04-24 17:50:00,4727.73,4729.3,4724.72,4725.74,2158,4,0,2158
2026-04-24 17:55:00,4725.77,4727.33,4724.07,4726.39,1742,4,0,1742
2026-04-24 18:00:00,4726.39,4727.18,4721.76,4722.21,2266,4,0,2266
2026-04-24 18:05:00,4722.21,4724.6,4718.81,4724.24,2510,4,0,2510
2026-04-24 18:10:00,4724.24,4725.08,4720.03,4721.89,2025,4,0,2025
2026-04-24 18:15:00,4721.89,4723.19,4719.82,4721.46,1916,4,0,1916
2026-04-24 18:20:00,4721.44,4726.4,4720.72,4721.56,2009,4,0,2009
2026-04-24 18:25:00,4721.56,4722.69,4718.55,4721.96,1961,4,0,1961
2026-04-24 18:30:00,4721.96,4724.85,4718.12,4718.28,1846,4,0,1846
2026-04-24 18:35:00,4718.37,4720.3,4717.44,4718.84,2000,4,0,2000
2026-04-24 18:40:00,4718.84,4729.59,4714.74,4727.94,2132,4,0,2132
2026-04-24 18:45:00,4727.94,4733.6,4724.04,4724.07,3761,4,0,3761
2026-04-24 18:50:00,4724.07,4730.75,4724.03,4729.32,2932,4,0,2932
2026-04-24 18:55:00,4729.32,4729.94,4725.36,4727.09,2511,4,0,2511
2026-04-24 19:00:00,4727.09,4729.69,4723.91,4725.75,2473,4,0,2473
2026-04-24 19:05:00,4725.75,4726.56,4720.61,4721.66,2089,4,0,2089
2026-04-24 19:10:00,4721.64,4723.72,4720.18,4720.51,1888,4,0,1888
2026-04-24 19:15:00,4720.42,4720.97,4719.04,4720.52,1977,4,0,1977
2026-04-24 19:20:00,4720.52,4724.57,4720.49,4724.09,1692,4,0,1692
2026-04-24 19:25:00,4724.03,4725.8,4722.51,4723.29,1621,4,0,1621
2026-04-24 19:30:00,4723.29,4727.12,4723.29,4725.71,1956,4,0,1956
2026-04-24 19:35:00,4725.72,4725.77,4723.64,4724.13,1523,4,0,1523
2026-04-24 19:40:00,4724.11,4724.24,4719.19,4722.49,2066,4,0,2066
2026-04-24 19:45:00,4722.53,4724.65,4720.35,4721.73,1710,4,0,1710
2026-04-24 19:50:00,4721.68,4724.75,4721.68,4724.3,1659,4,0,1659
2026-04-24 19:55:00,4724.3,4727.68,4723.52,4726.89,1775,4,0,1775
2026-04-24 20:00:00,4726.89,4730.13,4726.89,4728.19,2057,4,0,2057
2026-04-24 20:05:00,4728.2,4729.09,4725.75,4727.71,2071,4,0,2071
2026-04-24 20:10:00,4727.71,4728.15,4726.15,4727.84,1796,4,0,1796
2026-04-24 20:15:00,4727.84,4729.32,4725.95,4728.76,1564,4,0,1564
2026-04-24 20:20:00,4728.76,4729.01,4723.01,4726.65,1828,4,0,1828
2026-04-24 20:25:00,4726.65,4727.89,4722.29,4722.76,1723,4,0,1723
2026-04-24 20:30:00,4722.78,4723.35,4718.94,4720.87,2075,4,0,2075
2026-04-24 20:35:00,4720.88,4725.5,4720.61,4721.65,1772,4,0,1772
2026-04-24 20:40:00,4721.66,4723.25,4721.57,4722.58,1330,4,0,1330
2026-04-24 20:45:00,4722.58,4723.16,4721.39,4722.11,1004,4,0,1004
2026-04-24 20:50:00,4722.1,4727.99,4720.55,4724.91,1389,4,0,1389
2026-04-24 20:55:00,4724.91,4726.39,4723.16,4723.34,1603,4,0,1603
2026-04-24 21:00:00,4723.34,4724.79,4722.38,4722.55,1483,4,0,1483
2026-04-24 21:05:00,4722.57,4722.77,4719.92,4722.43,1433,4,0,1433
2026-04-24 21:10:00,4722.43,4724.79,4722.36,4723.7,1279,4,0,1279
2026-04-24 21:15:00,4723.7,4724.25,4720.65,4721.35,1411,4,0,1411
2026-04-24 21:20:00,4721.35,4722.62,4719.66,4721.07,1518,4,0,1518
2026-04-24 21:25:00,4721.07,4721.08,4716.92,4717.06,1735,4,0,1735
2026-04-24 21:30:00,4717.06,4720.39,4716.61,4719.67,1412,4,0,1412
2026-04-24 21:35:00,4719.67,4720.49,4718.61,4720.02,1171,4,0,1171
2026-04-24 21:40:00,4720.02,4720.52,4717.98,4718.81,1096,4,0,1096
2026-04-24 21:45:00,4718.81,4719.71,4717.71,4718.59,1135,4,0,1135
2026-04-24 21:50:00,4718.59,4721.08,4718.15,4720.32,1272,4,0,1272
2026-04-24 21:55:00,4720.23,4723.23,4719.7,4722.69,1257,4,0,1257
2026-04-24 22:00:00,4722.7,4726.06,4721.58,4723.57,1350,4,0,1350
2026-04-24 22:05:00,4723.56,4724.19,4722.09,4722.21,1146,4,0,1146
2026-04-24 22:10:00,4722.23,4722.83,4720.94,4722.34,1333,4,0,1333
2026-04-24 22:15:00,4722.34,4723.28,4720.16,4721.17,1308,4,0,1308
2026-04-24 22:20:00,4721.17,4721.17,4717.37,4717.85,1146,4,0,1146
2026-04-24 22:25:00,4717.78,4719.1,4717.49,4718.96,1362,4,0,1362
2026-04-24 22:30:00,4718.96,4720.59,4718.29,4718.38,1216,4,0,1216
2026-04-24 22:35:00,4718.38,4718.5,4715.94,4717.3,1230,4,0,1230
2026-04-24 22:40:00,4717.3,4717.79,4716.04,4716.72,1261,4,0,1261
2026-04-24 22:45:00,4716.72,4718.6,4715.73,4716.29,1329,4,0,1329
2026-04-24 22:50:00,4716.29,4717.58,4715.73,4716.77,1623,4,0,1623
2026-04-24 22:55:00,4716.77,4717.7,4713.66,4716.45,2141,4,0,2141
2026-04-27 01:00:00,4698.27,4699.83,4692.29,4696.9,2008,15,0,2008
2026-04-27 01:05:00,4697.02,4697.02,4681.4,4681.7,1906,4,0,1906
2026-04-27 01:10:00,4681.7,4685.75,4679.96,4685.3,1429,4,0,1429
2026-04-27 01:15:00,4685.41,4688.65,4684.05,4688.65,824,4,0,824
2026-04-27 01:20:00,4688.65,4688.65,4683.22,4684.72,815,4,0,815
2026-04-27 01:25:00,4684.83,4687.51,4682.99,4686.88,783,4,0,783
2026-04-27 01:30:00,4686.88,4686.9,4682.15,4683.52,872,4,0,872
2026-04-27 01:35:00,4683.52,4686.28,4683.35,4686.16,812,4,0,812
2026-04-27 01:40:00,4686.16,4686.28,4684.02,4684.67,780,4,0,780
2026-04-27 01:45:00,4684.67,4685.7,4683.6,4684.99,763,4,0,763
2026-04-27 01:50:00,4684.97,4685.69,4681.87,4684.49,850,4,0,850
2026-04-27 01:55:00,4684.49,4686.02,4683.72,4684.69,808,4,0,808
2026-04-27 02:00:00,4684.69,4684.69,4677.54,4681.36,1420,4,0,1420
2026-04-27 02:05:00,4681.34,4684.46,4681.34,4683.35,904,4,0,904
2026-04-27 02:10:00,4683.35,4684.89,4683.0,4683.72,695,4,0,695
2026-04-27 02:15:00,4683.71,4684.57,4683.36,4683.64,640,4,0,640
2026-04-27 02:20:00,4683.58,4683.79,4681.13,4682.56,672,4,0,672
2026-04-27 02:25:00,4682.57,4682.59,4677.11,4677.29,835,4,0,835
2026-04-27 02:30:00,4677.29,4679.69,4676.42,4678.95,1028,4,0,1028
2026-04-27 02:35:00,4678.95,4680.0,4675.42,4676.67,823,4,0,823
2026-04-27 02:40:00,4676.67,4678.15,4674.81,4676.81,1060,4,0,1060
2026-04-27 02:45:00,4676.81,4682.13,4676.79,4680.63,1281,4,0,1281
2026-04-27 02:50:00,4680.63,4681.81,4679.01,4681.16,765,4,0,765
2026-04-27 02:55:00,4681.16,4681.85,4679.73,4679.96,936,4,0,936
2026-04-27 03:00:00,4679.96,4681.13,4675.34,4679.08,1602,4,0,1602
2026-04-27 03:05:00,4679.11,4679.68,4672.06,4675.86,1781,4,0,1781
2026-04-27 03:10:00,4675.86,4679.87,4675.71,4679.82,1469,4,0,1469
2026-04-27 03:15:00,4679.82,4681.38,4677.81,4678.83,1585,4,0,1585
